内科|1
外科|1
儿科|1
妇产科|1
男科|1
五官科|1
皮肤性病|1
生殖健康|1
中西医结合科|1
肝病|1
精神心理科|1
肿瘤科|1
传染科|1
老年科|1
体检保健科|1
成瘾医学科|1
核医学科|1
急诊科|1
营养科|1
精神病科|1
心理咨询|1
肝炎|1
中医科|1
皮肤科|1
性病科|1
眼科|1
耳鼻喉科|1
口腔科|1
妇科|1
产科|1
普外科|1
心胸外科|1
肝胆外科|1
胃肠外科|1
脑外科|1
泌尿外科|1
骨科|1
肛肠外科|1
乳腺外科|1
血管外科|1
器官移植|1
烧伤科|1
手外科|1
外伤科|1
呼吸内科|1
消化内科|1
神经内科|1
内分泌科|1
肾内科|1
风湿科|1
血液科|1
心血管内科|1
性兴奋障碍|2
附睾结核|2
甲型副伤寒|2
布-加综合征|2
泌尿生殖系放线菌病|2
夸赛纳森林病|2
科罗拉多蜱热|2
肺芽生菌病|2
乙胺嘧啶中毒|2
西伯利亚立克次体斑疹热|2
自身免疫性肝病|2
前列腺钙灶化灶|2
加利福尼亚脑炎|2
小儿利斯特菌病|2
弗郎西丝菌肺炎|2
阴茎癌|2
左精索静脉曲张|2
生殖器念珠菌病|2
卵巢早衰|2
蝎螫伤|2
五氯酚钠中毒|2
毛圆线虫病|2
小儿亚硝酸盐中毒|2
非01霍乱弧菌肠炎|2
小儿脾外伤|2
利斯特菌脑膜炎|2
小儿脑膜炎球菌性肾上腺综合征|2
性欲亢进|2
无机磷中毒|2
葡萄球菌中毒性休克综合征|2
原发性阿米巴脑膜脑炎|2
男性不育|2
子宫内膜异位症|2
不孕症|2
性冷淡|2
小儿霉甘蔗中毒|2
宫外孕|2
生殖器疱疹|2
乙酰苯胺类中毒|2
细菌性阴道炎|2
包皮龟头炎|2
艾滋病|2
羰基镍中毒|2
小儿阿托品类中毒|2
早泄|2
阴茎前阴囊|2
外伤性胆管损伤|2
阳痿|2
粗制棉子油中毒|2
枢椎齿突骨折|2
氯喹中毒|2
小儿播散性脂肪肉芽肿综合征|2
铜绿色假单胞菌脑膜炎|2
猛兽伤|2
小儿出血性休克和脑病综合征|2
小儿触电与雷击|2
砷化氢引起的溶血性贫血|2
胎肥|2
婴儿肉毒中毒综合征|2
杜波组织胞浆菌病|2
小儿水杨酸盐类中毒|2
小儿片吸虫病|2
克里米亚-刚果出血热|2
溶组织内阿米巴病|2
湄公血吸虫病|2
致肠细胞病变人孤儿病毒感染|2
委内瑞拉马脑炎|2
棘阿米巴性巩膜炎|2
棉子中毒|2
腹腔肺吸虫病|2
立氏立克次体斑疹热|2
战壕热|2
女性阳虚|2
走哺|2
疫黄|2
肉痹|2
天柱倒|2
暑瘵|2
六瘤|2
振栗|2
肢骨纹状肥大|2
肝性胸腔积液|2
吐失|2
小儿发育性髋脱位|2
耻骨结核|2
咽后壁憩室|2
脐尿管囊肿及脐尿管瘘|2
α1-抗胰蛋白酶缺乏症|2
腕关节结核|2
肠伤寒穿孔|2
小螺菌感染|2
二尖瓣和主动脉瓣的疾患|2
瘴疟|2
鄂木斯克出血热|2
脊椎外伤|2
荚膜组织胞浆菌病|2
骨包囊虫病|2
苏格兰脑炎|2
肾盏积水|2
西方马型脑炎|2
急性感染性心内膜炎|2
椎弓结核|2
巨吻棘头虫病|2
小儿埃可及柯萨奇病毒感染|2
透明丝孢霉病|2
小儿其他沙门菌感染|2
肋锁综合征|2
小儿肝炎再生障碍性贫血综合征|2
羌虫病|2
小儿丁型病毒性肝炎|2
异尖线吸虫蚴移行症|2
衣原体感染|2
小儿埃博拉病毒病|2
脱阳|2
生殖道肿瘤|2
男科外伤|2
睾丸女性化|2
前列腺异位|2
嵌顿包茎|2
中老年男子部分性雄激素缺乏综合征|2
性功能异常伴发的精神障碍|2
男性青春期发育延迟|2
阴茎阴囊象皮肿|2
阴茎折断|2
先天性无阴道|2
无精症|2
前庭大腺炎|2
输精管堵塞|2
染色体异常|2
少精症|2
非性病性梅毒|2
男性生殖器畸形|2
处女膜闭锁|2
真两性畸形|2
不射精症|2
子宫脱垂|2
精囊囊肿|2
男性生殖器外伤|2
男性假两性畸形|2
死精症|2
阴道横隔|2
前列腺囊肿|2
先天性睾丸发育不全|2
双阴茎|2
膀胱尿道异物|2
子宫性不孕|2
睾丸损伤|2
无排卵性不孕症|2
阴茎扭转|2
子宫畸形|2
输卵管炎|2
隐匿阴茎|2
卵巢性不孕|2
外阴阴道性不孕|2
宫颈性不孕|2
阴囊损伤|2
两性畸形|2
输卵管性不孕|2
免疫性不孕|2
霉菌性龟头炎|2
阴茎离断伤|2
蹼状阴茎|2
输卵管结核|2
多睾症|2
附睾畸形|2
特纳综合征|2
小儿戊型病毒性肝炎|2
小儿乙型肝炎病毒相关肾炎|2
小儿丙型病毒性肝炎|2
等孢球虫病|2
中毒性高铁血红蛋白血症|2
集聚肠杆菌感染|2
锑中毒|2
卫氏并殖吸虫病|2
前臂动脉损伤|2
敌鼠中毒|2
新生儿休克|2
片吸虫病|2
肝炎双重感染|2
桡骨茎突骨折|2
肝瘟|2
胫骨后唇骨折|2
小儿嗜血性流行性感冒杆菌脑膜炎|2
颈椎单侧及双侧小关节脱位|2
新生儿乙型肝炎|2
桡骨远端骨骺分离|2
真菌中毒症|2
肝炎后综合征|2
丁肝|2
肝结核|2
急性乙肝|2
铜中毒引起的溶血性贫血|2
急性黄疸型肝炎|2
丙型肝炎病毒感染与肾小球肾炎|2
肝炎|2
新生儿肝炎|2
金黄色葡萄球菌脑膜炎|2
铅中毒引起的溶血性贫血|2
铍中毒|2
丙肝|2
小儿一氧化碳中毒|2
病毒性肝炎|2
甲肝|2
登革出血热|2
烧伤脓毒症|2
颈椎椎体楔形压缩骨折|2
创伤性肩关节后脱位|2
复孔绦虫病|2
持续性枕横位难产|2
史密斯骨折|2
肩胛颈及肩胛盂骨折|2
持续性枕后位难产|2
小肠扭转|2
螺菌病|2
老年休克|2
农药中毒所致的精神障碍|2
颈部勒伤|2
出血性休克和脑病综合征|2
妊娠性哮喘|2
工业中毒所致的精神障碍|2
溴氯菊酯中毒|2
颠茄碱类植物药物中毒|2
千足虫灼伤|2
小儿急性呼吸衰竭|2
医用药物中毒所致的精神障碍|2
